Artist,Song,Label,Page
A$AP Rocky,LVL,640,1
Drake,"Hold On, We're Going Home",640,1
Avicii,You Make Me,640,1
Young Fathers,Deadline,640,1
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,640,2
The Knife,A Tooth For an Eye,640,2
Janelle Monáe,Q.U.E.E.N.,640,2
Diana Vickers,Cinderella,640,2
Autre Ne Veut,Counting,640,2
Robin Thicke,Blurred Lines,640,2
Charli XCX,You (Ha Ha Ha),640,3
CHVRCHES,Gun,640,3
Janelle Monáe,Dance Apocalyptic,640,3
MARINA,Lies,640,3
Jon Hopkins,Open Eye Signal,640,3
Nine Inch Nails,Copy Of A,640,4
M.I.A.,Come Walk With Me,640,4
Wavves,Afraid of Heights,640,4
Daft Punk,Lose Yourself to Dance,640,5
Charli XCX,SuperLove,640,5
Bass Drum of Death,Crawling After You,640,5
Le Youth,C O O L - Radio Edit,640,5
Pusha T,King Push,640,5
Glasser,Shape,640,6
Ariana Grande,The Way,640,6
Jorge Elbrecht,No Real Friend,640,6
