Song,Artist,Label,Page
Sade,Mayorkun,Sade,1
La thune,Angèle,Brol,1
Tal Uno,Barrie,Tal Uno,1
Weight of the Planets,Aldous Harding,Designer,1
Sunshine for Locksmith,Jason McMahon,Odd West,1
Count Your Blessings,Sunday Service Choir,Jesus Is Born,2
Ondas do Mar,Fernando Machado Soares,Portugal : Le Fado de Coimbra (The Fado of Coimbra),2
Speak Low,Billie Holiday,The Complete Verve Studio Master Takes,2
Billy Jack.,Curtis Mayfield,(There's No Place Lime) America Today,2
Mountains,Charlotte Day Wilson,Mountains,2
Grateful,Swindle,No More Normal,3
1 Milli,DaVido,A Good Time,3
Juro Que,ROSALÍA,Juro Que,3
Zvichapera,Chiwoniso,Zvichapera,3
The Keeper,Blossoms,The Keeper,4
Alewife,Clairo,Immunity,4
Is That All There Is?,Peggy Lee,Is That All There Is?,4
String Quintet No. 3 in C Major: I. Allegro molto,Carl Ditters von Dittersdorf,Dittersdorf: String Quartets Nos. 2 and 6 / String Quintets Nos. 3 and 6,4
Try Again,Big Star,#1 Record (Remastered),4
See The World,Africa Express,EGOLI,5
