Page,Artist,Label,Song
1,Mayorkun,Sade,Sade
1,Angèle,Brol,La thune
1,Barrie,Tal Uno,Tal Uno
1,Aldous Harding,Designer,Weight of the Planets
1,Jason McMahon,Odd West,Sunshine for Locksmith
2,Sunday Service Choir,Jesus Is Born,Count Your Blessings
2,Fernando Machado Soares,Portugal : Le Fado de Coimbra (The Fado of Coimbra),Ondas do Mar
2,Billie Holiday,The Complete Verve Studio Master Takes,Speak Low
2,Curtis Mayfield,(There's No Place Lime) America Today,Billy Jack.
2,Charlotte Day Wilson,Mountains,Mountains
3,Swindle,No More Normal,Grateful
3,DaVido,A Good Time,1 Milli
3,ROSALÍA,Juro Que,Juro Que
3,Chiwoniso,Zvichapera,Zvichapera
4,Blossoms,The Keeper,The Keeper
4,Clairo,Immunity,Alewife
4,Peggy Lee,Is That All There Is?,Is That All There Is?
4,Carl Ditters von Dittersdorf,Dittersdorf: String Quartets Nos. 2 and 6 / String Quintets Nos. 3 and 6,String Quintet No. 3 <br>in C Major: I. Allegro molto
4,Big Star,#1 Record (Remastered),Try Again
5,Africa Express,EGOLI,See The World
